PTO_X,PTO_Y,WI0,WI1,WI2,WI3,WI4,WI5,WI6,WI7,WI8,WI9
84.73938,39.23597,-55,-47,-51,-48,-49,-65,-61,-99,-65,-59
73.497314,48.69804,-71,-54,-53,-54,-54,-75,-72,-72,-77,-72
62.46501,86.3822,-65,-99,-99,-99,-76,-72,-99,-61,-99,-65
69.17267,26.760963,-72,-63,-63,-63,-64,-77,-99,-99,-57,-99
75.553635,39.6556,-67,-58,-61,-60,-60,-74,-99,-99,-67,-99
76.06771,48.61682,-69,-52,-51,-52,-52,-77,-99,-99,-74,-99
70.227875,15.146582,-83,-73,-73,-73,-73,-99,-99,-99,-65,-99
77.9661,49.367046,-60,-45,-45,-45,-45,-71,-71,-61,-74,-99
75.6889,47.181946,-70,-50,-50,-50,-50,-76,-68,-68,-73,-67
72.744156,43.735832,-59,-47,-47,-46,-47,-69,-99,-67,-64,-99
83.751816,44.9078,-52,-35,-43,-35,-35,-62,-65,-65,-67,-59
69.28089,27.843891,-69,-55,-55,-55,-55,-77,-99,-99,-57,-99
69.28089,18.205847,-77,-63,-63,-64,-63,-99,-99,-99,-56,-99
82.31781,47.831703,-59,-46,-46,-46,-46,-71,-62,-64,-73,-66
74.49842,46.965355,-68,-51,-50,-51,-51,-77,-68,-75,-72,-67
86.66725,76.12147,-40,-49,-46,-46,-47,-44,-48,-45,-99,-45
93.37111,83.9113,-53,-61,-62,-61,-62,-54,-58,-60,-99,-60
83.545845,72.39167,-50,-63,-63,-63,-62,-53,-54,-54,-99,-54
87.10016,88.65634,-44,-51,-51,-51,-52,-49,-54,-49,-99,-54
88.55134,88.0535,-54,-65,-65,-66,-65,-55,-60,-60,-99,-60
72.523285,39.818047,-66,-61,-60,-61,-61,-74,-99,-99,-64,-99
73.62933,62.0689,-47,-52,-53,-51,-53,-60,-43,-44,-99,-42
71.31256,73.71036,-57,-63,-62,-63,-62,-62,-58,-58,-99,-57
76.856766,14.523899,-81,-71,-70,-71,-70,-85,-99,-75,-64,-78
80.23444,39.22244,-59,-46,-46,-46,-46,-68,-99,-99,-70,-99
59.89462,83.98462,-64,-78,-74,-77,-72,-65,-64,-65,-99,-63
70.8187,39.27658,-64,-51,-51,-52,-50,-74,-99,-99,-64,-99
68.63394,87.05903,-64,-75,-76,-75,-75,-70,-65,-65,-99,-65
83.72918,17.36658,-61,-52,-50,-51,-51,-67,-63,-66,-55,-65
74.14668,39.818047,-68,-46,-53,-54,-54,-76,-99,-99,-67,-99
68.924736,42.714874,-60,-41,-43,-42,-43,-70,-64,-99,-55,-99
86.50491,81.31952,-43,-50,-51,-50,-51,-48,-48,-49,-99,-49
68.95621,15.715118,-76,-63,-63,-64,-63,-99,-99,-99,-56,-99
80.450905,39.249504,-57,-46,-46,-46,-46,-67,-99,-99,-75,-99
69.0915,37.644375,-64,-58,-58,-58,-58,-70,-70,-70,-64,-75
69.5244,19.640724,-78,-57,-58,-59,-57,-99,-99,-99,-56,-99
63.35788,79.51755,-67,-79,-74,-74,-74,-74,-69,-68,-99,-68
85.1555,61.716957,-46,-41,-42,-42,-42,-54,-99,-46,-68,-99
76.94036,68.214516,-59,-63,-63,-63,-63,-70,-61,-60,-99,-61
81.02593,71.57318,-57,-59,-66,-58,-59,-62,-49,-49,-99,-49
82.37877,87.708435,-49,-56,-56,-56,-57,-51,-59,-59,-99,-62
71.63724,78.23157,-57,-66,-72,-67,-65,-68,-63,-63,-99,-62
76.96058,48.86048,-68,-57,-57,-57,-57,-71,-58,-59,-74,-99
75.58511,46.90339,-61,-46,-47,-48,-47,-72,-71,-68,-68,-64
69.33058,39.303658,-56,-43,-42,-43,-42,-68,-99,-65,-53,-99
62.924976,79.32803,-68,-79,-74,-74,-74,-74,-69,-68,-99,-68
70.227875,14.902922,-83,-73,-73,-73,-73,-99,-99,-99,-65,-99
69.19972,15.092438,-79,-62,-62,-62,-62,-99,-99,-99,-60,-99
72.036255,48.075356,-58,-39,-39,-40,-42,-66,-74,-73,-63,-99
82.48457,16.175362,-76,-71,-71,-71,-71,-67,-63,-75,-64,-78
